,CouncilDistrictCode,DataYear,ENERGYSTARScore,Electricity(kBtu),Electricity(kWh),GHGEmissionsIntensity,LargestPropertyUseTypeGFA,Latitude,Longitude,NaturalGas(kBtu),NaturalGas(therms),NumberofBuildings,NumberofFloors,OSEBuildingID,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),TotalGHGEmissions,YearBuilt,ZipCode
3285,5.0,2016.0,30.0,619545.0,181578.2969,0.21,21019.0,47.71986,-122.29297,,,1.0,4.0,49990.0,20128.0,,20128.0,29.5,29.5,619545.125,619545.125,92.59999847,92.59999847,,4.32,2015.0,98125.0
3286,2.0,2016.0,89.0,12468729.0,3654375.5,1.12,430927.0,47.59785,-122.33235,11384827.0,113848.2656,1.0,26.0,49992.0,619416.0,,619416.0,53.40000153,55.20000076,23853556.0,24655422.0,114.3000031,116.40000149999999,,691.57,2014.0,98104.0
3287,7.0,2016.0,92.0,5466818.0,1602232.625,0.65,193927.0,47.61679,-122.3489,2585796.0,25857.95898,1.0,26.0,49994.0,269065.0,,269065.0,41.5,43.59999847,8052614.5,8459635.0,102.5,107.8000031,,175.44,2014.0,98121.0
3288,3.0,2016.0,83.0,1325461.0,388470.3125,0.51,51785.0,47.62543,-122.32691000000001,632045.0,6320.449707,3.0,6.0,49996.0,83296.0,,83296.0,37.20000076,38.90000153,1957505.75,2046159.25,91.69999695,96.19999695,,42.81,2013.0,98102.0
3289,7.0,2016.0,62.0,2549649.0,747259.5,0.16,88304.0,47.64771,-122.37697,,,1.0,4.0,49997.0,112264.0,,112264.0,28.89999962,29.39999962,2549649.75,2599724.75,90.69999695,92.40000153,,17.77,2014.0,98119.0
3290,2.0,2016.0,,868162.0,254443.5938,0.1,87576.0,47.57054,-122.29138999999999,72683.0,726.8301392000001,1.0,4.0,49998.0,87576.0,14004.0,101580.0,10.69999981,10.69999981,940844.6875,940844.6875,32.0,32.0,,9.91,2014.0,98144.0
3291,7.0,2016.0,97.0,1572307.0,460816.8125,0.63,67708.0,47.620059999999995,-122.34733,910767.0,9107.669922,1.0,7.0,49999.0,94909.0,,94909.0,36.70000076,38.90000153,2483074.25,2635043.25,87.0,93.30000305,,59.33,2014.0,98109.0
3292,7.0,2016.0,20.0,1522898.0,446335.8125,2.47,53768.0,47.61357,-122.33248999999999,3267424.0,32674.24414,1.0,7.0,50000.0,74509.0,,74509.0,78.40000153,80.5,4216639.5,4327891.5,152.6999969,152.6999969,,184.15,2014.0,98101.0
3293,3.0,2016.0,71.0,2328044.0,682310.625,1.07,80262.0,47.61488,-122.31442,2095563.0,20955.63086,1.0,7.0,50001.0,118800.0,,118800.0,55.09999847,56.0,4423607.0,4496225.5,118.5,119.40000149999999,,127.53,2013.0,98122.0
3294,4.0,2016.0,,1399582.0,410193.9063,0.29,83600.0,47.66414,-122.31663999999999,,,1.0,3.0,50002.0,33648.0,,33648.0,35.90000153,35.90000153,1399581.625,1399581.625,112.6999969,112.6999969,,9.76,2014.0,98105.0
3295,4.0,2016.0,100.0,452354.0,132577.4063,0.84,19633.0,47.65725,-122.32007,275813.0,2758.1298829999996,1.0,4.0,50003.0,21267.0,,21267.0,37.09999847,39.59999847,728167.0,777933.375,87.09999847,93.69999695,,17.8,2014.0,98105.0
3296,4.0,2016.0,100.0,455863.0,133605.7031,1.11,24520.0,47.65641,-122.32126000000001,582489.0,5824.890136999999,1.0,5.0,50005.0,30649.0,,30649.0,42.29999924,44.20000076,1038351.875,1082892.625,83.30000305,85.19999695,,34.11,2014.0,98105.0
3297,6.0,2016.0,14.0,1392300.0,408059.6875,0.25,24380.0,47.6704,-122.38277,,,1.0,6.0,50006.0,39286.0,,39286.0,57.09999847,59.5,1392299.75,1449795.375,179.3000031,186.6999969,,9.71,2014.0,98107.0
3298,3.0,2016.0,55.0,4026715.0,1180162.75,0.78,68575.0,47.61605,-122.3165,1805951.0,18059.50977,1.0,6.0,50008.0,158967.0,,158967.0,55.0,55.0,5832666.5,5832666.5,137.1000061,137.1000061,,123.99,2012.0,98122.0
3299,4.0,2016.0,95.0,1181264.0,346208.8125,0.77,31939.0,47.65713,-122.31527,468063.0,4680.629883,2.0,7.0,50009.0,42905.0,,42905.0,51.59999847,55.20000076,1649327.625,1762563.5,131.5,141.5,,33.09,2014.0,98105.0
3300,3.0,2016.0,7.0,3364530.0,986087.3125,0.75,72528.0,47.619859999999996,-122.32381000000001,770750.0,7707.5,1.0,7.0,50011.0,85647.0,,85647.0,57.0,58.90000153,4135280.25,4272179.5,156.8000031,162.1000061,,64.39,2014.0,98102.0
3301,2.0,2016.0,99.0,1533384.0,449409.1875,0.66,45892.0,47.57113,-122.29048,371257.0,3712.5732420000004,1.0,4.0,50013.0,45892.0,,45892.0,41.5,43.59999847,1904641.75,2000258.625,113.40000149999999,119.40000149999999,,30.41,2014.0,98144.0
3302,7.0,2016.0,40.0,10250156.0,3004149.0,1.25,307810.0,47.613240000000005,-122.33223000000001,10370435.0,103704.3516,1.0,41.0,50014.0,499477.0,,499477.0,67.09999847,,20657852.0,,140.1000061,,,622.23,2014.0,98101.0
3303,5.0,2016.0,100.0,332604.0,97480.70313,1.56,16550.0,47.690870000000004,-122.30628999999999,728214.0,7282.140137,1.0,6.0,50015.0,26198.0,,26198.0,64.09999847,68.5,1060818.25,1132967.5,109.3000031,113.90000149999999,,40.99,2014.0,98115.0
